index;TravelPrice;allerdepart;allerarrivee;retourdepart;retourarrivee;allercompanie;retourcompanie;allertimetravel;retourtimetravel;allerescale;retourescales;allerdeparth;allerarriveeh;retourdeparth;retourarriveeh
29;73,60;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Ryanair;· Ryanair;5 h 20 min;14 h 00 min;1 escale;1 escale;16:55;22:15;21:45;11:45
30;145,58;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;07:30;09:35;09:50;11:55
31;142,70;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;20:55;23:00;18:05;20:10
32;99,50;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Ryanair;· Transavia France;2 h 05 min;2 h 05 min;direct;direct;18:15;20:20;16:50;18:55
33;142,70;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;20:55;23:00;16:35;18:40
34;112,56;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;17:20;19:25;20:10;22:15
35;137,99;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Paris Beauvais (BVA), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 05 min;2 h 10 min;direct;direct;14:25;16:30;19:55;22:05
36;142,70;Paris Beauvais (BVA), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Paris Beauvais (BVA), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;19:25;21:30;14:30;16:35
37;139,14;Adolfo Suárez M... (MAD), Madrid;Paris Beauvais (BVA), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Iberia;· Iberia;2 h 15 min;2 h 05 min;direct;direct;11:40;13:55;20:10;22:15
38;136,93;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· Iberia;2 h 05 min;2 h 05 min;direct;direct;17:20;19:25;11:35;13:40
